v_5p_del,v_gene,count
212,IGHV3-7*01,5
209,IGHV3-64*04,10
206,IGHV3-23D*01,2
206,IGHV1-46*02,1
227,IGHV3-23D*01,3
227,IGHV3-7*03,3
200,IGHV3-66*03,5
230,IGHV1-18*04,5
203,IGHV3-7*01,5
215,IGHV4-61*08,3
197,IGHV3-7*01,6
209,IGHV3-7*02,3
209,IGHV3-53*02,5
206,IGHV3-64*04,3
215,IGHV3-7*03,5
206,IGHV3-NL1*01,5
215,IGHV1-2*04,5
233,IGHV1-69D*01,2
215,IGHV3-NL1*01,5
209,IGHV4-61*02,5
221,IGHV3-9*03,3
214,IGHV3-23D*01,5
188,IGHV3-7*01,1
209,IGHV3-23D*01,5
203,IGHV3-53*02,3
221,IGHV3-NL1*01,9
218,IGHV3-64*05,5
242,IGHV4/OR15-8*03,3
218,IGHV3-NL1*01,4
212,IGHV1-69D*01,5
221,IGHV3-7*02,4
